Time,Freq_Hz,Va_V,Vb_V,Vc_V,Vnavg_V,Vab_V,Vbc_V,Vca_V,Vlavg_V,Ia_A,Ib_A,Ic_A,Iavg_A,PFa,PFb,PFc,PF,LCavg,LCa,LCb,LCc,LC001,LC002,LC003,LC004,LC005,LC006,LC007,LC008,LC009,LCs1,LCs2,LCs3,I001_A,PF001,I002_A,PF002,I003_A,PF003,I004_A,PF004,I005_A,PF005,I006_A,PF006,I007_A,PF007,I008_A,PF008,I009_A,PF009,PFs1,PFs2,PFs3,Pa_kW,Pb_kW,Pc_kW,P_kW,Qa_kvar,Qb_kvar,Qc_kvar,Q_kvar,Sa_kVA,Sb_kVA,Sc_kVA,S_kVA,P001_kW,Q001_kvar,S001_kVA,P002_kW,Q002_kvar,S002_kVA,P003_kW,Q003_kvar,S003_kVA,P004_kW,Q004_kvar,S004_kVA,P005_kW,Q005_kvar,S005_kVA,P006_kW,Q006_kvar,S006_kVA,P007_kW,Q007_kvar,S007_kVA,P008_kW,Q008_kvar,S008_kVA,P009_kW,Q009_kvar,S009_kVA,Ps1_kW,Qs1_kvar,Ss1_kVA,Ps2_kW,Qs2_kvar,Ss2_kVA,Ps3_kW,Qs3_kvar,Ss3_kVA,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EP001_IMP_kWh,EP002_IMP_kWh,EP003_IMP_kWh,EP004_IMP_kWh,EP005_IMP_kWh,EP006_IMP_kWh,EP007_IMP_kWh,EP008_IMP_kWh,EP009_IMP_kWh,EPs1_IMP_kWh,EPs2_IMP_kWh,EPs3_IMP_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQ001_IMP_kvarh,EQ002_IMP_kvarh,EQ003_IMP_kvarh,EQ004_IMP_kvarh,EQ005_IMP_kvarh,EQ006_IMP_kvarh,EQ007_IMP_kvarh,EQ008_IMP_kvarh,EQ009_IMP_kvarh,EQs1_IMP_kvarh,EQs2_IMP_kvarh,EQs3_IMP_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,ES001_kVAh,ES002_kVAh,ES003_kVAh,ES004_kVAh,ES005_kVAh,ES006_kVAh,ES007_kVAh,ES008_kVAh,ES009_kVAh,ESs1_kVAh,ESs2_kVAh,ESs3_kVAh,Unbl_V,THD_Va,THD_Vb,THD_Vc,THD_Vavg,Unbl_I,OTHD_Va,ETHD_Va,CF_Va,THFF_Va,OTHD_Vb,ETHD_Vb,CF_Vb,THFF_Vb,OTHD_Vc,ETHD_Vc,CF_Vc,THFF_Vc,OTHD_I001,ETHD_I001,KF_I001,OTHD_I002,ETHD_I002,KF_I002,OTHD_I003,ETHD_I003,KF_I003,OTHD_I004,ETHD_I004,KF_I004,OTHD_I005,ETHD_I005,KF_I005,OTHD_I006,ETHD_I006,KF_I006,OTHD_I007,ETHD_I007,KF_I007,OTHD_I008,ETHD_I008,KF_I008,OTHD_I009,ETHD_I009,KF_I009,DMD_P_kW,DMD_Q_kvar,DMD_S_kVA,DMD_Ia_A,DMD_Pa_kW,DMD_Qa_kvar,DMD_Sa_kVA,DMD_Ib_A,DMD_Pb_kW,DMD_Qb_kvar,DMD_Sb_kVA,DMD_Ic_A,DMD_Pc_kW,DMD_Qc_kvar,DMD_Sc_kVA,DMD_I001_A,DMD_P001_kW,DMD_Q001_kvar,DMD_S001_kVA,DMD_I002_A,DMD_P002_kW,DMD_Q002_kvar,DMD_S002_kVA,DMD_I003_A,DMD_P003_kW,DMD_Q003_kvar,DMD_S003_kVA,DMD_I004_A,DMD_P004_kW,DMD_Q004_kvar,DMD_S004_kVA,DMD_I005_A,DMD_P005_kW,DMD_Q005_kvar,DMD_S005_kVA,DMD_I006_A,DMD_P006_kW,DMD_Q006_kvar,DMD_S006_kVA,DMD_I007_A,DMD_P007_kW,DMD_Q007_kvar,DMD_S007_kVA,DMD_I008_A,DMD_P008_kW,DMD_Q008_kvar,DMD_S008_kVA,DMD_I009_A,DMD_P009_kW,DMD_Q009_kvar,DMD_S009_kVA,DMD_Ps1_kW,DMD_Qs1_kvar,DMD_Ss1_kVA,DMD_Ps2_kW,DMD_Qs2_kvar,DMD_Ss2_kVA,DMD_Ps3_kW,DMD_Qs3_kvar,DMD_Ss3_kVA,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8
2022-01-10 08:26:00,53.266,234.807,233.259,233.689,233.918,406.113,403.996,406.196,405.435,6.102,1.972,2.100,3.391,0.422,0.185,0.131,0.317,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,6.099,0.423,0.000,1.000,0.000,1.000,1.972,0.185,0.000,1.000,0.000,1.000,2.099,0.131,0.000,1.000,1.000,0.317,1.000,0.605,0.085,0.064,0.755,-1.137,-0.336,-0.401,-1.874,1.433,0.460,0.491,2.384,0.000,0.000,0.000,0.605,-1.140,1.432,0.000,0.000,0.000,0.000,0.000,0.000,0.085,-0.337,0.460,0.000,0.000,0.000,0.000,0.000,0.000,0.064,-0.402,0.491,0.000,0.000,0.000,0.000,0.000,0.000,0.755,-1.880,2.382,0.000,0.000,0.000,19053.801,27014.301,15772.900,61841.000,10611.600,8442.400,0.000,10862.700,16151.600,0.000,6413.000,9359.900,0.000,27880.400,33950.602,0.000,20061.801,19127.400,16745.199,55934.398,7884.500,12177.300,0.000,7996.300,11131.200,0.000,4561.400,12183.800,0.000,20439.699,35489.500,0.000,27050.500,35605.500,20582.100,83238.102,13904.300,13146.200,0.000,15260.200,20345.400,0.000,7052.800,13529.300,0.000,36209.602,47017.602,0.000,0.600,1.790,2.130,1.920,1.940,123,1.790,0.000,1.447,0.670,2.100,0.410,1.470,0.930,1.920,0.000,1.451,0.540,0.000,0.000,0.000,47.980,2.840,5.200,0.000,0.000,0.000,0.000,0.000,0.000,88.030,5.620,14.500,0.000,0.000,0.000,0.000,0.000,0.000,66.660,3.420,15.300,0.000,0.000,0.000,0.039,-0.108,0.166,0.385,0.030,-0.063,0.090,0.157,0.005,-0.020,0.036,0.170,0.004,-0.025,0.040,0.000,0.000,0.000,0.000,0.351,0.030,-0.063,0.082,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.122,0.005,-0.020,0.028,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.134,0.004,-0.025,0.031,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.039,-0.108,0.142,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:27:00,53.255,234.749,233.231,233.730,233.904,405.968,403.969,406.157,405.365,6.751,2.490,2.925,4.056,0.420,0.245,0.252,0.344,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,6.750,0.420,0.000,1.000,0.000,1.000,2.485,0.246,0.000,1.000,0.000,1.000,2.919,0.253,0.000,1.000,1.000,0.346,1.000,0.665,0.142,0.173,0.980,-1.256,-0.428,-0.525,-2.209,1.585,0.581,0.684,2.849,0.000,0.000,0.000,0.665,-1.258,1.584,0.000,0.000,0.000,0.000,0.000,0.000,0.142,-0.429,0.579,0.000,0.000,0.000,0.000,0.000,0.000,0.173,-0.525,0.682,0.000,0.000,0.000,0.000,0.000,0.000,0.980,-2.210,2.836,0.000,0.000,0.000,19053.801,27014.301,15772.900,61841.000,10611.600,8442.400,0.000,10862.700,16151.600,0.000,6413.000,9359.900,0.000,27880.400,33950.602,0.000,20061.801,19127.400,16745.199,55934.398,7884.500,12177.300,0.000,7996.300,11131.200,0.000,4561.400,12183.800,0.000,20439.699,35489.500,0.000,27050.500,35605.500,20582.100,83238.102,13904.300,13146.200,0.000,15260.200,20345.400,0.000,7052.800,13529.300,0.000,36209.602,47017.602,0.000,0.600,1.960,2.110,2.040,2.030,106,1.920,0.420,1.461,1.360,2.060,0.460,1.471,1.360,2.040,0.000,1.459,0.740,0.000,0.000,0.000,49.050,3.620,5.800,0.000,0.000,0.000,0.000,0.000,0.000,83.250,5.660,12.600,0.000,0.000,0.000,0.000,0.000,0.000,72.930,4.660,14.400,0.000,0.000,0.000,0.098,-0.244,0.342,0.816,0.073,-0.143,0.191,0.320,0.014,-0.047,0.074,0.328,0.012,-0.054,0.076,0.000,0.000,0.000,0.000,0.781,0.073,-0.143,0.183,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.285,0.014,-0.047,0.066,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.291,0.012,-0.054,0.068,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.098,-0.244,0.318,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:28:00,52.990,234.599,233.659,235.052,234.437,405.812,405.694,407.452,406.319,7.033,2.956,6.766,5.585,0.396,0.232,0.451,0.389,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,7.025,0.396,0.000,1.000,0.000,1.000,2.968,0.231,0.000,1.000,0.000,1.000,6.760,0.452,0.000,1.000,1.000,0.391,1.000,0.653,0.160,0.717,1.531,-1.321,-0.500,-1.344,-3.164,1.650,0.691,1.590,3.931,0.000,0.000,0.000,0.653,-1.319,1.648,0.000,0.000,0.000,0.000,0.000,0.000,0.160,-0.499,0.693,0.000,0.000,0.000,0.000,0.000,0.000,0.717,-1.342,1.589,0.000,0.000,0.000,0.000,0.000,0.000,1.531,-3.154,3.920,0.000,0.000,0.000,19053.801,27014.301,15772.900,61841.000,10611.600,8442.400,0.000,10862.700,16151.600,0.000,6413.000,9359.900,0.000,27880.400,33950.602,0.000,20061.801,19127.400,16745.199,55934.398,7884.500,12177.300,0.000,7996.300,11131.200,0.000,4561.400,12183.800,0.000,20439.699,35489.500,0.000,27050.500,35605.500,20582.100,83238.102,13904.300,13146.200,0.000,15260.200,20345.400,0.000,7052.800,13529.300,0.000,36209.602,47017.602,0.000,0.500,1.880,2.040,2.080,2.000,71,1.810,0.540,1.452,1.090,1.980,0.510,1.469,1.200,2.020,0.500,1.457,0.880,0.000,0.000,0.000,48.820,4.760,5.900,0.000,0.000,0.000,0.000,0.000,0.000,79.480,7.950,13.600,0.000,0.000,0.000,0.000,0.000,0.000,26.730,6.410,4.500,0.000,0.000,0.000,0.164,-0.399,0.542,1.276,0.116,-0.229,0.299,0.498,0.025,-0.077,0.116,0.544,0.023,-0.092,0.127,0.000,0.000,0.000,0.000,1.241,0.116,-0.229,0.291,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.463,0.025,-0.077,0.108,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.508,0.023,-0.092,0.119,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.164,-0.399,0.518,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:29:00,52.826,233.492,234.002,232.878,233.457,405.384,403.943,404.190,404.506,7.802,9.358,8.613,8.591,0.433,0.825,0.522,0.605,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,7.810,0.433,0.000,1.000,0.000,1.000,9.361,0.825,0.000,1.000,0.000,1.000,8.622,0.522,0.000,1.000,1.000,0.605,1.000,0.789,1.806,1.047,3.643,-1.420,-1.178,-1.643,-4.241,1.822,2.190,2.006,6.017,0.000,0.000,0.000,0.789,-1.420,1.823,0.000,0.000,0.000,0.000,0.000,0.000,1.806,-1.178,2.190,0.000,0.000,0.000,0.000,0.000,0.000,1.047,-1.644,2.007,0.000,0.000,0.000,0.000,0.000,0.000,3.643,-4.244,6.024,0.000,0.000,0.000,19053.801,27014.301,15772.900,61841.000,10611.600,8442.400,0.000,10862.700,16151.600,0.000,6413.000,9359.900,0.000,27880.400,33950.602,0.000,20061.801,19127.400,16745.199,55934.398,7884.500,12177.300,0.000,7996.300,11131.200,0.000,4561.400,12183.800,0.000,20439.699,35489.500,0.000,27050.600,35605.500,20582.100,83238.203,13904.300,13146.300,0.000,15260.200,20345.400,0.000,7052.800,13529.300,0.000,36209.602,47017.699,0.000,0.400,1.360,1.870,1.710,1.640,18,1.280,0.480,1.440,1.070,1.800,0.530,1.476,1.320,1.650,0.460,1.454,0.930,0.000,0.000,0.000,49.580,4.850,5.300,0.000,0.000,0.000,0.000,0.000,0.000,18.800,2.710,1.900,0.000,0.000,0.000,0.000,0.000,0.000,22.160,5.360,2.600,0.000,0.000,0.000,0.311,-0.634,0.854,1.760,0.162,-0.320,0.412,0.838,0.067,-0.124,0.195,1.052,0.082,-0.190,0.246,0.000,0.000,0.000,0.000,1.725,0.162,-0.320,0.405,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.803,0.067,-0.124,0.188,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,1.016,0.082,-0.190,0.238,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.311,-0.634,0.830,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:30:00,52.816,233.609,234.128,232.961,233.566,405.666,404.177,404.295,404.713,9.077,10.534,9.659,9.757,0.430,0.754,0.498,0.569,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,9.075,0.430,0.000,1.000,0.000,1.000,10.528,0.755,0.000,1.000,0.000,1.000,9.657,0.498,0.000,1.000,1.000,0.569,1.000,0.911,1.860,1.121,3.892,-1.743,-1.561,-1.912,-5.216,2.120,2.466,2.250,6.837,0.000,0.000,0.000,0.911,-1.742,2.120,0.000,0.000,0.000,0.000,0.000,0.000,1.860,-1.560,2.465,0.000,0.000,0.000,0.000,0.000,0.000,1.121,-1.911,2.250,0.000,0.000,0.000,0.000,0.000,0.000,3.892,-5.217,6.838,0.000,0.000,0.000,19053.801,27014.301,15772.900,61841.000,10611.600,8442.400,0.000,10862.700,16151.600,0.000,6413.000,9359.900,0.000,27880.400,33950.602,0.000,20061.900,19127.400,16745.199,55934.500,7884.500,12177.400,0.000,7996.300,11131.200,0.000,4561.400,12183.800,0.000,20439.699,35489.602,0.000,27050.600,35605.500,20582.100,83238.203,13904.300,13146.300,0.000,15260.200,20345.400,0.000,7052.800,13529.300,0.000,36209.602,47017.699,0.000,0.400,1.870,1.970,1.960,1.930,12,1.800,0.520,1.453,0.800,1.880,0.620,1.473,1.310,1.880,0.560,1.453,0.900,0.000,0.000,0.000,38.940,4.280,4.000,0.000,0.000,0.000,0.000,0.000,0.000,17.910,3.650,2.300,0.000,0.000,0.000,0.000,0.000,0.000,17.910,3.150,2.400,0.000,0.000,0.000,0.561,-0.946,1.282,2.333,0.221,-0.425,0.546,1.496,0.188,-0.213,0.349,1.654,0.153,-0.308,0.386,0.000,0.000,0.000,0.000,2.298,0.221,-0.425,0.539,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,1.461,0.188,-0.213,0.341,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,1.618,0.153,-0.308,0.378,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.561,-0.946,1.258,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:31:00,52.032,232.890,235.114,235.073,234.359,403.650,406.996,406.117,405.587,11.468,17.155,22.988,17.204,0.440,0.695,0.404,0.509,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,11.471,0.440,0.000,1.000,0.000,1.000,17.149,0.695,0.000,1.000,0.000,1.000,23.024,0.403,0.000,1.000,1.000,0.507,1.000,1.174,2.802,2.182,6.158,-2.190,-2.900,-4.078,-9.167,2.671,4.033,5.404,12.108,0.000,0.000,0.000,1.174,-2.186,2.671,0.000,0.000,0.000,0.000,0.000,0.000,2.802,-2.895,4.031,0.000,0.000,0.000,0.000,0.000,0.000,2.182,-4.070,5.412,0.000,0.000,0.000,0.000,0.000,0.000,6.158,-9.136,12.136,0.000,0.000,0.000,19053.801,27014.301,15772.900,61841.000,10611.600,8442.400,0.000,10862.700,16151.600,0.000,6413.000,9359.900,0.000,27880.400,33950.602,0.000,20061.900,19127.400,16745.301,55934.602,7884.500,12177.400,0.000,7996.300,11131.200,0.000,4561.400,12183.900,0.000,20439.699,35489.699,0.000,27050.600,35605.602,20582.199,83238.398,13904.300,13146.300,0.000,15260.200,20345.500,0.000,7052.800,13529.400,0.000,36209.602,47017.898,0.000,0.900,1.240,1.700,1.550,1.490,68,0.970,0.780,1.440,1.260,1.500,0.800,1.463,1.410,1.450,0.570,1.444,0.770,0.000,0.000,0.000,35.530,4.980,3.400,0.000,0.000,0.000,0.000,0.000,0.000,11.900,4.690,1.500,0.000,0.000,0.000,0.000,0.000,0.000,9.110,4.010,1.300,0.000,0.000,0.000,0.847,-1.341,1.803,3.018,0.290,-0.555,0.706,2.233,0.314,-0.322,0.522,2.460,0.242,-0.464,0.575,0.000,0.000,0.000,0.000,2.983,0.290,-0.555,0.699,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,2.198,0.314,-0.322,0.514,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,2.424,0.242,-0.464,0.567,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.847,-1.341,1.779,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:32:00,51.251,232.264,234.724,232.594,233.194,404.775,404.651,403.531,404.319,16.599,24.538,24.752,21.963,0.431,0.717,0.470,0.553,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,16.588,0.431,0.000,1.000,0.000,1.000,24.538,0.717,0.000,1.000,0.000,1.000,24.745,0.470,0.000,1.000,1.000,0.552,1.000,1.661,4.130,2.705,8.497,-3.344,-3.990,-5.022,-12.356,3.856,5.760,5.757,15.373,0.000,0.000,0.000,1.661,-3.348,3.853,0.000,0.000,0.000,0.000,0.000,0.000,4.130,-3.996,5.759,0.000,0.000,0.000,0.000,0.000,0.000,2.705,-5.029,5.755,0.000,0.000,0.000,0.000,0.000,0.000,8.497,-12.371,15.382,0.000,0.000,0.000,19053.801,27014.400,15773.000,61841.199,10611.600,8442.400,0.000,10862.700,16151.700,0.000,6413.000,9360.000,0.000,27880.400,33950.801,0.000,20061.900,19127.500,16745.400,55934.801,7884.500,12177.400,0.000,7996.300,11131.300,0.000,4561.400,12184.000,0.000,20439.699,35489.898,0.000,27050.699,35605.699,20582.301,83238.703,13904.300,13146.400,0.000,15260.200,20345.600,0.000,7052.800,13529.500,0.000,36209.602,47018.199,0.000,1.000,1.530,1.530,1.270,1.440,37,1.400,0.630,1.449,1.370,1.400,0.620,1.465,1.350,1.140,0.570,1.434,0.810,0.000,0.000,0.000,23.290,4.700,2.000,0.000,0.000,0.000,0.000,0.000,0.000,9.190,5.400,1.200,0.000,0.000,0.000,0.000,0.000,0.000,8.230,3.190,1.300,0.000,0.000,0.000,1.333,-2.063,2.707,3.960,0.384,-0.740,0.926,3.612,0.539,-0.545,0.845,4.006,0.410,-0.778,0.936,0.000,0.000,0.000,0.000,3.925,0.384,-0.740,0.918,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,3.577,0.539,-0.545,0.837,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,3.970,0.410,-0.778,0.928,0.003,0.000,0.000,0.001,0.000,0.000,0.000,1.333,-2.063,2.683,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:33:00,51.098,232.177,235.326,232.772,233.425,404.335,405.225,402.981,404.180,18.004,28.371,27.757,24.711,0.439,0.686,0.446,0.537,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,18.005,0.439,0.000,1.000,0.000,1.000,28.353,0.687,0.000,1.000,0.000,1.000,27.111,0.457,0.000,1.000,1.000,0.553,1.000,1.833,4.583,2.881,9.298,-3.660,-4.729,-5.400,-13.789,4.180,6.677,6.464,17.320,0.000,0.000,0.000,1.833,-3.654,4.180,0.000,0.000,0.000,0.000,0.000,0.000,4.583,-4.721,6.669,0.000,0.000,0.000,0.000,0.000,0.000,2.881,-5.391,6.306,0.000,0.000,0.000,0.000,0.000,0.000,9.533,-14.288,17.244,0.000,0.000,0.000,19053.900,27014.500,15773.000,61841.398,10611.600,8442.500,0.000,10862.700,16151.800,0.000,6413.000,9360.000,0.000,27880.400,33951.000,0.000,20062.000,19127.600,16745.400,55935.000,7884.500,12177.500,0.000,7996.300,11131.400,0.000,4561.400,12184.000,0.000,20439.699,35490.102,0.000,27050.801,35605.801,20582.400,83239.000,13904.300,13146.500,0.000,15260.200,20345.699,0.000,7052.800,13529.600,0.000,36209.602,47018.500,0.000,1.300,1.760,1.830,2.070,1.880,42,1.630,0.670,1.461,1.770,1.690,0.720,1.469,1.710,1.890,0.860,1.471,2.050,0.000,0.000,0.000,20.990,4.810,2.300,0.000,0.000,0.000,0.000,0.000,0.000,7.090,4.440,1.500,0.000,0.000,0.000,0.000,0.000,0.000,7.230,3.990,1.200,0.000,0.000,0.000,1.923,-2.930,3.782,5.110,0.500,-0.972,1.192,5.372,0.828,-0.834,1.259,5.706,0.595,-1.124,1.331,0.000,0.000,0.000,0.000,5.075,0.500,-0.972,1.184,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,5.337,0.828,-0.834,1.251,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,5.670,0.595,-1.124,1.322,0.003,0.000,0.000,0.001,0.000,0.000,0.000,1.923,-2.930,3.758,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:34:00,50.925,231.522,235.176,231.737,232.812,404.446,404.801,401.690,403.646,18.431,31.288,27.690,25.803,0.441,0.671,0.467,0.544,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,18.413,0.441,0.000,1.000,0.000,1.000,31.275,0.671,0.000,1.000,0.000,1.000,27.686,0.467,0.000,1.000,1.000,0.546,1.000,1.880,4.935,2.998,9.813,-3.755,-5.340,-5.648,-14.744,4.267,7.358,6.417,18.042,0.000,0.000,0.000,1.880,-3.752,4.265,0.000,0.000,0.000,0.000,0.000,0.000,4.935,-5.336,7.358,0.000,0.000,0.000,0.000,0.000,0.000,2.998,-5.643,6.418,0.000,0.000,0.000,0.000,0.000,0.000,9.848,-14.768,18.041,0.000,0.000,0.000,19053.900,27014.500,15773.100,61841.500,10611.600,8442.500,0.000,10862.700,16151.800,0.000,6413.000,9360.100,0.000,27880.400,33951.102,0.000,20062.100,19127.699,16745.500,55935.301,7884.500,12177.600,0.000,7996.300,11131.500,0.000,4561.400,12184.100,0.000,20439.699,35490.398,0.000,27050.801,35605.898,20582.500,83239.203,13904.300,13146.500,0.000,15260.200,20345.801,0.000,7052.800,13529.700,0.000,36209.602,47018.699,0.000,1.500,1.910,1.780,2.000,1.890,49,1.790,0.690,1.470,1.900,1.640,0.700,1.473,1.640,1.890,0.660,1.466,2.100,0.000,0.000,0.000,20.370,4.950,2.100,0.000,0.000,0.000,0.000,0.000,0.000,6.430,3.500,1.300,0.000,0.000,0.000,0.000,0.000,0.000,7.490,4.480,1.300,0.000,0.000,0.000,2.560,-3.877,4.945,6.324,0.624,-1.218,1.474,7.331,1.143,-1.165,1.719,7.523,0.793,-1.495,1.752,0.000,0.000,0.000,0.000,6.290,0.624,-1.218,1.466,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,7.296,1.143,-1.165,1.711,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,7.487,0.793,-1.495,1.744,0.003,0.000,0.000,0.001,0.000,0.000,0.000,2.560,-3.877,4.921,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-01-10 08:35:00,50.773,231.375,235.205,231.530,232.703,404.242,404.882,401.158,403.427,18.756,32.297,27.957,26.337,0.442,0.669,0.468,0.545,C,C,C,C,R,C,R,R,C,R,R,C,R,R,C,R,0.000,1.000,18.762,0.442,0.000,1.000,0.000,1.000,32.318,0.668,0.000,1.000,0.000,1.000,27.941,0.469,0.000,1.000,1.000,0.544,1.000,1.917,5.080,3.032,10.029,-3.791,-5.594,-5.695,-15.079,4.340,7.596,6.473,18.409,0.000,0.000,0.000,1.917,-3.803,4.341,0.000,0.000,0.000,0.000,0.000,0.000,5.080,-5.613,7.601,0.000,0.000,0.000,0.000,0.000,0.000,3.032,-5.714,6.469,0.000,0.000,0.000,0.000,0.000,0.000,10.029,-15.076,18.421,0.000,0.000,0.000,19053.900,27014.600,15773.100,61841.602,10611.600,8442.500,0.000,10862.700,16151.900,0.000,6413.000,9360.100,0.000,27880.400,33951.199,0.000,20062.100,19127.699,16745.600,55935.398,7884.500,12177.600,0.000,7996.300,11131.500,0.000,4561.400,12184.200,0.000,20439.699,35490.500,0.000,27050.900,35606.000,20582.600,83239.500,13904.300,13146.600,0.000,15260.200,20345.900,0.000,7052.800,13529.800,0.000,36209.602,47019.000,0.000,1.600,1.870,1.860,1.960,1.890,51,1.710,0.780,1.467,1.700,1.690,0.800,1.469,1.810,1.760,0.870,1.466,1.830,0.000,0.000,0.000,20.080,5.240,2.200,0.000,0.000,0.000,0.000,0.000,0.000,5.880,6.420,1.300,0.000,0.000,0.000,0.000,0.000,0.000,7.070,4.660,1.300,0.000,0.000,0.000,3.221,-4.871,6.160,7.565,0.750,-1.469,1.761,9.449,1.478,-1.530,2.217,9.376,0.994,-1.872,2.182,0.000,0.000,0.000,0.000,7.531,0.750,-1.469,1.753,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,9.414,1.478,-1.530,2.209,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,9.340,0.994,-1.872,2.173,0.003,0.000,0.000,0.001,0.000,0.000,0.000,3.221,-4.871,6.136,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
