Time,Freq_Hz,Va_V,Vb_V,Vc_V,Vnavg_V,Vab_V,Vbc_V,Vca_V,Vlavg_V,Ia_A,Ib_A,Ic_A,Iavg_A,PFa,PFb,PFc,PF,LCavg,LCa,LCb,LCc,LC001,LC002,LC003,LC004,LC005,LC006,LC007,LC008,LC009,LCs1,LCs2,LCs3,I001_A,PF001,I002_A,PF002,I003_A,PF003,I004_A,PF004,I005_A,PF005,I006_A,PF006,I007_A,PF007,I008_A,PF008,I009_A,PF009,PFs1,PFs2,PFs3,Pa_kW,Pb_kW,Pc_kW,P_kW,Qa_kvar,Qb_kvar,Qc_kvar,Q_kvar,Sa_kVA,Sb_kVA,Sc_kVA,S_kVA,P001_kW,Q001_kvar,S001_kVA,P002_kW,Q002_kvar,S002_kVA,P003_kW,Q003_kvar,S003_kVA,P004_kW,Q004_kvar,S004_kVA,P005_kW,Q005_kvar,S005_kVA,P006_kW,Q006_kvar,S006_kVA,P007_kW,Q007_kvar,S007_kVA,P008_kW,Q008_kvar,S008_kVA,P009_kW,Q009_kvar,S009_kVA,Ps1_kW,Qs1_kvar,Ss1_kVA,Ps2_kW,Qs2_kvar,Ss2_kVA,Ps3_kW,Qs3_kvar,Ss3_kVA,EPa_IMP_kWh,EPb_IMP_kWh,EPc_IMP_kWh,EP_IMP_kWh,EP001_IMP_kWh,EP002_IMP_kWh,EP003_IMP_kWh,EP004_IMP_kWh,EP005_IMP_kWh,EP006_IMP_kWh,EP007_IMP_kWh,EP008_IMP_kWh,EP009_IMP_kWh,EPs1_IMP_kWh,EPs2_IMP_kWh,EPs3_IMP_kWh,EQa_IMP_kvarh,EQb_IMP_kvarh,EQc_IMP_kvarh,EQ_IMP_kvarh,EQ001_IMP_kvarh,EQ002_IMP_kvarh,EQ003_IMP_kvarh,EQ004_IMP_kvarh,EQ005_IMP_kvarh,EQ006_IMP_kvarh,EQ007_IMP_kvarh,EQ008_IMP_kvarh,EQ009_IMP_kvarh,EQs1_IMP_kvarh,EQs2_IMP_kvarh,EQs3_IMP_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh,ES_kVAh,ES001_kVAh,ES002_kVAh,ES003_kVAh,ES004_kVAh,ES005_kVAh,ES006_kVAh,ES007_kVAh,ES008_kVAh,ES009_kVAh,ESs1_kVAh,ESs2_kVAh,ESs3_kVAh,Unbl_V,THD_Va,THD_Vb,THD_Vc,THD_Vavg,Unbl_I,OTHD_Va,ETHD_Va,CF_Va,THFF_Va,OTHD_Vb,ETHD_Vb,CF_Vb,THFF_Vb,OTHD_Vc,ETHD_Vc,CF_Vc,THFF_Vc,OTHD_I001,ETHD_I001,KF_I001,OTHD_I002,ETHD_I002,KF_I002,OTHD_I003,ETHD_I003,KF_I003,OTHD_I004,ETHD_I004,KF_I004,OTHD_I005,ETHD_I005,KF_I005,OTHD_I006,ETHD_I006,KF_I006,OTHD_I007,ETHD_I007,KF_I007,OTHD_I008,ETHD_I008,KF_I008,OTHD_I009,ETHD_I009,KF_I009,DMD_P_kW,DMD_Q_kvar,DMD_S_kVA,DMD_Ia_A,DMD_Pa_kW,DMD_Qa_kvar,DMD_Sa_kVA,DMD_Ib_A,DMD_Pb_kW,DMD_Qb_kvar,DMD_Sb_kVA,DMD_Ic_A,DMD_Pc_kW,DMD_Qc_kvar,DMD_Sc_kVA,DMD_I001_A,DMD_P001_kW,DMD_Q001_kvar,DMD_S001_kVA,DMD_I002_A,DMD_P002_kW,DMD_Q002_kvar,DMD_S002_kVA,DMD_I003_A,DMD_P003_kW,DMD_Q003_kvar,DMD_S003_kVA,DMD_I004_A,DMD_P004_kW,DMD_Q004_kvar,DMD_S004_kVA,DMD_I005_A,DMD_P005_kW,DMD_Q005_kvar,DMD_S005_kVA,DMD_I006_A,DMD_P006_kW,DMD_Q006_kvar,DMD_S006_kVA,DMD_I007_A,DMD_P007_kW,DMD_Q007_kvar,DMD_S007_kVA,DMD_I008_A,DMD_P008_kW,DMD_Q008_kvar,DMD_S008_kVA,DMD_I009_A,DMD_P009_kW,DMD_Q009_kvar,DMD_S009_kVA,DMD_Ps1_kW,DMD_Qs1_kvar,DMD_Ss1_kVA,DMD_Ps2_kW,DMD_Qs2_kvar,DMD_Ss2_kVA,DMD_Ps3_kW,DMD_Qs3_kvar,DMD_Ss3_kVA,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8
2022-09-19 15:57:00,50.000,218.100,217.605,218.779,218.161,378.398,377.676,377.339,377.804,22.239,23.891,8.670,18.266,-0.980,0.990,-0.987,-0.124,L,L,L,L,L,R,R,L,R,R,L,R,R,L,R,R,22.262,-0.979,0.000,1.000,0.000,1.000,23.898,0.990,0.000,1.000,0.000,1.000,8.676,-0.987,0.000,1.000,0.000,1.000,-0.124,1.000,1.000,-4.752,5.147,-1.872,-1.477,-0.356,0.168,-0.097,-0.285,4.850,5.199,1.897,11.946,-4.752,-0.356,4.855,0.000,0.000,0.000,0.000,0.000,0.000,5.147,0.168,5.200,0.000,0.000,0.000,0.000,0.000,0.000,-1.872,-0.097,1.898,0.000,0.000,0.000,0.000,0.000,0.000,-1.477,-0.285,11.943,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52402.398,36998.000,125076.398,11388.000,24061.900,226.200,32933.102,19026.000,443.500,17081.600,19417.000,499.500,61285.898,62487.898,1166.000,13760.500,11064.900,14529.500,39354.898,3238.000,8949.800,1572.800,5986.100,3613.800,1465.000,2278.400,10433.100,1818.000,11486.900,22962.500,4841.000,41795.500,54875.699,44810.801,141482.000,11644.600,28543.500,1607.400,33692.602,19590.400,1592.800,17621.100,25266.900,1922.900,62838.301,73375.398,5107.500,0.500,97,91,91,93,84.000,97,0,1.427,0,91,0,1.431,0,91,0,1.426,0,1292,766,1.200,0,0,0.000,0,0,0.000,1196,561,1.300,0,0,0.000,0,0,0.000,1998,823,2.300,0,0,0.000,0,0,0.000,-0.833,-0.030,10.413,16.490,-3.521,-0.291,3.619,21.741,4.681,0.238,4.753,9.302,-1.993,0.023,2.041,16.490,-3.521,-0.291,3.619,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.741,4.681,0.238,4.753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.302,-1.993,0.023,2.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.833,-0.030,10.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 15:58:00,49.941,218.813,217.336,217.874,218.008,378.055,376.765,377.189,377.336,16.289,24.047,13.774,18.037,-1.000,0.986,-0.966,-0.114,L,L,L,L,L,R,R,L,R,R,L,R,R,L,R,R,16.260,-1.000,0.000,1.000,0.000,1.000,24.022,0.987,0.000,1.000,0.000,1.000,13.765,-0.967,0.000,1.000,0.000,1.000,-0.114,1.000,1.000,-3.595,5.152,-2.900,-1.343,-0.330,0.175,-0.181,-0.337,3.565,5.226,3.001,11.792,-3.595,-0.330,3.557,0.000,0.000,0.000,0.000,0.000,0.000,5.152,0.175,5.220,0.000,0.000,0.000,0.000,0.000,0.000,-2.900,-0.181,2.999,0.000,0.000,0.000,0.000,0.000,0.000,-1.343,-0.337,11.768,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52402.500,36998.000,125076.500,11388.000,24061.900,226.200,32933.199,19026.000,443.500,17081.600,19417.000,499.500,61286.000,62487.898,1166.000,13760.600,11064.900,14529.500,39355.000,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.400,10433.100,1818.000,11487.000,22962.500,4841.000,41795.500,54875.801,44810.801,141482.094,11644.600,28543.500,1607.400,33692.699,19590.400,1592.800,17621.100,25266.900,1922.900,62838.398,73375.398,5107.500,0.600,101,96,95,97,57.200,101,0,1.428,0,96,0,1.432,0,95,0,1.427,0,1727,986,1.500,0,0,0.000,0,0,0.000,1180,628,1.300,0,0,0.000,0,0,0.000,2392,552,1.800,0,0,0.000,0,0,0.000,-0.868,-0.061,10.621,17.009,-3.633,-0.295,3.730,22.134,4.766,0.224,4.835,9.373,-2.002,0.010,2.055,17.009,-3.633,-0.295,3.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.134,4.766,0.224,4.835,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.373,-2.002,0.010,2.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.868,-0.061,10.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 15:59:00,50.029,219.018,217.715,218.201,218.312,378.805,377.526,377.644,377.992,16.378,24.028,13.737,18.048,-0.974,0.992,-0.969,-0.103,L,L,L,L,L,R,R,L,R,R,L,R,R,L,R,R,16.390,-0.974,0.000,1.000,0.000,1.000,24.032,0.991,0.000,1.000,0.000,1.000,13.739,-0.969,0.000,1.000,0.000,1.000,-0.103,1.000,1.000,-3.495,5.188,-2.905,-1.213,-0.318,0.169,-0.169,-0.318,3.587,5.231,2.997,11.816,-3.495,-0.318,3.590,0.000,0.000,0.000,0.000,0.000,0.000,5.188,0.169,5.233,0.000,0.000,0.000,0.000,0.000,0.000,-2.905,-0.169,2.998,0.000,0.000,0.000,0.000,0.000,0.000,-1.213,-0.318,11.823,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52402.602,36998.000,125076.602,11388.000,24061.900,226.200,32933.301,19026.000,443.500,17081.600,19417.000,499.500,61286.102,62487.898,1166.000,13760.600,11064.900,14529.500,39355.000,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.400,10433.100,1818.000,11487.000,22962.500,4841.000,41795.500,54875.898,44810.801,141482.203,11644.600,28543.500,1607.400,33692.801,19590.400,1592.800,17621.100,25266.900,1922.900,62838.500,73375.398,5107.500,0.500,96,96,96,96,57.200,96,0,1.427,0,96,0,1.432,0,96,0,1.427,0,1719,895,1.500,0,0,0.000,0,0,0.000,1173,540,1.300,0,0,0.000,0,0,0.000,2387,556,1.800,0,0,0.000,0,0,0.000,-0.863,-0.092,10.781,17.150,-3.668,-0.296,3.759,22.531,4.851,0.210,4.919,9.601,-2.045,-0.005,2.104,17.150,-3.668,-0.296,3.759,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.531,4.851,0.210,4.919,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.601,-2.045,-0.005,2.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.863,-0.092,10.781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 16:00:00,50.098,219.150,217.836,219.232,218.739,379.092,378.675,378.527,378.764,16.330,24.127,8.536,16.331,-0.978,0.989,-1.000,-0.031,L,L,L,L,L,R,R,L,R,R,L,R,R,L,R,R,16.330,-0.978,0.000,1.000,0.000,1.000,24.117,0.989,0.000,1.000,0.000,1.000,8.539,-1.000,0.000,1.000,0.000,1.000,-0.031,1.000,1.000,-3.500,5.198,-2.029,-0.332,-0.312,0.156,-0.097,-0.253,3.579,5.256,1.871,10.706,-3.500,-0.312,3.579,0.000,0.000,0.000,0.000,0.000,0.000,5.198,0.156,5.254,0.000,0.000,0.000,0.000,0.000,0.000,-2.029,-0.097,1.872,0.000,0.000,0.000,0.000,0.000,0.000,-0.332,-0.253,10.693,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52402.699,36998.000,125076.703,11388.000,24061.900,226.200,32933.398,19026.000,443.500,17081.600,19417.000,499.500,61286.199,62487.898,1166.000,13760.600,11064.900,14529.500,39355.000,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.400,10433.100,1818.000,11487.000,22962.500,4841.000,41795.500,54876.000,44810.801,141482.297,11644.600,28543.500,1607.400,33692.898,19590.400,1592.800,17621.100,25266.900,1922.900,62838.602,73375.398,5107.500,0.600,98,94,93,95,94.600,98,0,1.427,0,94,0,1.431,0,93,0,1.427,0,1720,866,1.400,0,0,0.000,0,0,0.000,1192,535,1.300,0,0,0.000,0,0,0.000,1832,799,2.100,0,0,0.000,0,0,0.000,-0.816,-0.118,10.873,17.103,-3.658,-0.298,3.748,22.847,4.925,0.198,4.986,9.768,-2.084,-0.019,2.139,17.103,-3.658,-0.298,3.748,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.847,4.925,0.198,4.986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.768,-2.084,-0.019,2.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.816,-0.118,10.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 16:01:00,50.176,219.709,218.535,220.041,219.428,380.154,379.835,379.584,379.858,16.302,24.037,8.513,16.284,-0.978,0.989,-0.979,-0.013,L,L,L,L,L,R,R,L,R,R,L,R,R,L,R,R,16.315,-0.977,0.000,1.000,0.000,1.000,24.045,0.989,0.000,1.000,0.000,1.000,8.539,-0.976,0.000,1.000,0.000,1.000,-0.013,1.000,1.000,-3.502,5.196,-1.834,-0.140,-0.306,0.150,-0.098,-0.254,3.582,5.253,1.873,10.708,-3.502,-0.306,3.584,0.000,0.000,0.000,0.000,0.000,0.000,5.196,0.150,5.255,0.000,0.000,0.000,0.000,0.000,0.000,-1.834,-0.098,1.879,0.000,0.000,0.000,0.000,0.000,0.000,-0.140,-0.254,10.703,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52402.801,36998.000,125076.797,11388.000,24061.900,226.200,32933.500,19026.000,443.500,17081.600,19417.000,499.500,61286.301,62487.898,1166.000,13760.600,11064.900,14529.500,39355.000,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.400,10433.100,1818.000,11487.000,22962.500,4841.000,41795.500,54876.102,44810.801,141482.406,11644.600,28543.500,1607.400,33693.000,19590.400,1592.800,17621.100,25266.900,1922.900,62838.699,73375.398,5107.500,0.500,100,95,91,95,94.700,99,0,1.427,0,92,0,1.431,0,91,0,1.426,0,1715,500,1.400,0,0,0.000,0,0,0.000,1194,486,1.300,0,0,0.000,0,0,0.000,1846,798,2.100,0,0,0.000,0,0,0.000,-0.794,-0.129,10.851,17.055,-3.647,-0.300,3.737,22.847,4.924,0.199,4.984,9.730,-2.071,-0.028,2.130,17.055,-3.647,-0.300,3.737,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.847,4.924,0.199,4.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.730,-2.071,-0.028,2.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.794,-0.129,10.851,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 16:02:00,50.147,219.914,218.830,219.529,219.424,380.483,379.699,379.456,379.879,16.260,23.865,11.537,17.221,-0.977,0.990,-0.875,-0.048,L,L,L,L,L,R,R,L,R,R,L,R,R,L,R,R,16.276,-0.976,0.000,1.000,0.000,1.000,23.888,0.989,0.000,1.000,0.000,1.000,11.590,-0.871,0.000,1.000,0.000,1.000,-0.048,1.000,1.000,-3.494,5.172,-2.217,-0.539,-0.312,0.162,-0.071,-0.221,3.576,5.222,2.533,11.331,-3.494,-0.312,3.579,0.000,0.000,0.000,0.000,0.000,0.000,5.172,0.163,5.228,0.000,0.000,0.000,0.000,0.000,0.000,-2.217,-0.072,2.544,0.000,0.000,0.000,0.000,0.000,0.000,-0.539,-0.221,11.354,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52402.898,36998.000,125076.898,11388.000,24061.900,226.200,32933.602,19026.000,443.500,17081.600,19417.000,499.500,61286.398,62487.898,1166.000,13760.600,11064.900,14529.500,39355.000,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.400,10433.100,1818.000,11487.000,22962.500,4841.000,41795.500,54876.102,44810.801,141482.406,11644.600,28543.500,1607.400,33693.000,19590.400,1592.800,17621.100,25266.900,1922.900,62838.699,73375.398,5107.500,0.500,99,90,93,94,93.500,99,0,1.427,0,90,0,1.431,0,93,0,1.427,0,1702,535,1.400,0,0,0.000,0,0,0.000,1192,434,1.300,0,0,0.000,0,0,0.000,1366,598,1.500,0,0,0.000,0,0,0.000,-0.790,-0.137,10.844,17.022,-3.640,-0.301,3.729,22.846,4.923,0.200,4.984,9.734,-2.073,-0.036,2.131,17.022,-3.640,-0.301,3.729,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.846,4.923,0.200,4.984,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.734,-2.073,-0.036,2.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.790,-0.137,10.844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 16:03:00,50.245,220.816,218.839,219.942,219.866,381.388,380.309,380.525,380.741,10.490,23.889,8.511,14.296,-0.954,0.989,-1.000,0.058,C,L,L,L,L,R,R,L,R,R,L,R,R,C,R,R,10.508,-0.953,0.000,1.000,0.000,1.000,23.888,0.989,0.000,1.000,0.000,1.000,8.572,-1.000,0.000,1.000,0.000,1.000,0.058,1.000,1.000,-2.210,5.173,-2.419,0.544,-0.260,0.150,-0.072,-0.182,2.316,5.228,1.872,9.416,-2.210,-0.260,2.320,0.000,0.000,0.000,0.000,0.000,0.000,5.173,0.150,5.229,0.000,0.000,0.000,0.000,0.000,0.000,-2.419,-0.072,1.885,0.000,0.000,0.000,0.000,0.000,0.000,0.544,-0.182,9.432,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52402.898,36998.000,125076.898,11388.000,24061.900,226.200,32933.602,19026.000,443.500,17081.600,19417.000,499.500,61286.398,62487.898,1166.000,13760.600,11064.900,14529.500,39355.000,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.400,10433.100,1818.000,11487.000,22962.500,4841.000,41795.500,54876.199,44810.801,141482.500,11644.600,28543.500,1607.400,33693.102,19590.400,1592.800,17621.100,25266.900,1922.900,62838.801,73375.398,5107.500,0.800,102,95,91,96,106.900,102,0,1.428,0,95,0,1.431,0,91,0,1.426,0,2654,1168,2.300,0,0,0.000,0,0,0.000,1186,562,1.300,0,0,0.000,0,0,0.000,1560,690,1.800,0,0,0.000,0,0,0.000,-0.789,-0.144,10.838,16.924,-3.622,-0.302,3.708,22.837,4.921,0.201,4.982,9.815,-2.089,-0.042,2.149,16.924,-3.622,-0.302,3.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.837,4.921,0.201,4.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.815,-2.089,-0.042,2.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.789,-0.144,10.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 16:04:00,50.255,220.765,218.870,220.027,219.887,381.143,380.486,380.478,380.702,10.478,23.948,9.020,14.482,-0.953,0.988,-1.000,0.036,C,L,L,L,L,R,R,L,R,R,L,R,R,C,R,R,10.504,-0.950,0.000,1.000,0.000,1.000,23.896,0.990,0.000,1.000,0.000,1.000,8.858,-1.000,0.000,1.000,0.000,1.000,0.074,1.000,1.000,-2.204,5.180,-2.634,0.342,-0.254,0.150,-0.065,-0.169,2.313,5.242,1.985,9.540,-2.204,-0.254,2.319,0.000,0.000,0.000,0.000,0.000,0.000,5.180,0.150,5.232,0.000,0.000,0.000,0.000,0.000,0.000,-2.634,-0.065,1.950,0.000,0.000,0.000,0.000,0.000,0.000,0.697,-0.182,9.466,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52403.000,36998.000,125077.000,11388.000,24061.900,226.200,32933.699,19026.000,443.500,17081.600,19417.000,499.500,61286.500,62487.898,1166.000,13760.600,11064.900,14529.600,39355.102,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.500,10433.100,1818.000,11487.100,22962.500,4841.000,41795.500,54876.301,44810.801,141482.594,11644.600,28543.500,1607.400,33693.199,19590.400,1592.800,17621.100,25266.900,1922.900,62838.898,73375.398,5107.500,0.800,109,94,91,98,87.000,109,0,1.429,0,94,0,1.431,0,91,0,1.426,0,2652,1164,2.300,0,0,0.000,0,0,0.000,1195,610,1.300,0,0,0.000,0,0,0.000,1699,835,1.800,0,0,0.000,0,0,0.000,-0.716,-0.147,10.761,16.514,-3.532,-0.299,3.618,22.827,4.919,0.201,4.980,9.882,-2.104,-0.049,2.163,16.514,-3.532,-0.299,3.618,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.827,4.919,0.201,4.980,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.882,-2.104,-0.049,2.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.716,-0.147,10.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 16:05:00,50.245,220.244,219.201,219.813,219.753,381.177,380.340,380.279,380.599,10.520,18.052,9.007,12.526,-0.949,0.978,-0.960,-0.028,C,L,L,L,L,R,R,L,R,R,L,R,R,C,R,R,10.521,-0.949,0.000,1.000,0.000,1.000,18.046,0.978,0.000,1.000,0.000,1.000,8.986,-0.963,0.000,1.000,0.000,1.000,-0.030,1.000,1.000,-2.198,3.868,-1.902,-0.231,-0.247,0.371,-0.085,0.039,2.317,3.957,1.980,8.254,-2.198,-0.247,2.316,0.000,0.000,0.000,0.000,0.000,0.000,3.868,0.371,3.954,0.000,0.000,0.000,0.000,0.000,0.000,-1.902,-0.085,1.974,0.000,0.000,0.000,0.000,0.000,0.000,-0.244,0.026,8.245,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52403.102,36998.000,125077.102,11388.000,24061.900,226.200,32933.801,19026.000,443.500,17081.600,19417.000,499.500,61286.602,62487.898,1166.000,13760.600,11064.900,14529.600,39355.102,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.500,10433.100,1818.000,11487.100,22962.500,4841.000,41795.500,54876.398,44810.801,141482.703,11644.600,28543.500,1607.400,33693.301,19590.400,1592.800,17621.100,25266.900,1922.900,62839.000,73375.398,5107.500,0.400,105,94,94,97,71.800,105,0,1.428,0,94,0,1.431,0,94,0,1.427,0,2691,1182,2.300,0,0,0.000,0,0,0.000,1620,655,1.600,0,0,0.000,0,0,0.000,2251,756,2.300,0,0,0.000,0,0,0.000,-0.679,-0.151,10.725,16.264,-3.473,-0.298,3.564,22.818,4.918,0.201,4.978,9.970,-2.124,-0.054,2.183,16.264,-3.473,-0.298,3.564,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.818,4.918,0.201,4.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.970,-2.124,-0.054,2.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.679,-0.151,10.725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2022-09-19 16:06:00,50.285,220.471,219.578,219.381,219.810,381.299,380.256,380.182,380.579,10.691,18.043,14.082,14.272,-0.956,0.979,-0.963,-0.143,L,L,L,L,L,R,R,L,R,R,L,R,R,L,R,R,10.695,-0.956,0.000,1.000,0.000,1.000,18.040,0.980,0.000,1.000,0.000,1.000,14.118,-0.961,0.000,1.000,0.000,1.000,-0.144,1.000,1.000,-2.255,3.880,-2.975,-1.349,-0.261,0.378,-0.150,-0.033,2.357,3.962,3.089,9.408,-2.255,-0.261,2.358,0.000,0.000,0.000,0.000,0.000,0.000,3.880,0.378,3.961,0.000,0.000,0.000,0.000,0.000,0.000,-2.975,-0.150,3.097,0.000,0.000,0.000,0.000,0.000,0.000,-1.355,-0.039,9.414,0.000,0.000,0.000,0.000,0.000,0.000,35676.000,52403.199,36998.000,125077.203,11388.000,24061.900,226.200,32933.898,19026.000,443.500,17081.600,19417.000,499.500,61286.699,62487.898,1166.000,13760.600,11064.900,14529.600,39355.102,3238.100,8949.800,1572.800,5986.100,3613.800,1465.000,2278.500,10433.100,1818.000,11487.100,22962.500,4841.000,41795.500,54876.500,44810.801,141482.797,11644.600,28543.500,1607.400,33693.398,19590.400,1592.800,17621.100,25266.900,1922.900,62839.102,73375.398,5107.500,0.500,104,96,97,99,50.900,104,0,1.428,0,96,0,1.432,0,97,0,1.427,0,2614,1174,2.200,0,0,0.000,0,0,0.000,1605,657,1.600,0,0,0.000,0,0,0.000,2514,553,1.800,0,0,0.000,0,0,0.000,-0.726,-0.147,10.633,16.099,-3.442,-0.297,3.528,22.485,4.849,0.213,4.907,10.037,-2.134,-0.063,2.198,16.099,-3.442,-0.297,3.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.485,4.849,0.213,4.907,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.037,-2.134,-0.063,2.198,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.726,-0.147,10.633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
